Subtype,Stage,Event_Index,Event_Name,Region,Z_Score
1,1,4,L_Cingulate (z=1),L_Cingulate,1
1,2,1,L_Temporal (z=1),L_Temporal,1
1,3,13,R_Temporal (z=1),R_Temporal,1
1,4,12,R_Frontal (z=1),R_Frontal,1
1,5,0,L_Frontal (z=1),L_Frontal,1
1,6,14,R_Parietal (z=1),R_Parietal,1
1,7,2,L_Parietal (z=1),L_Parietal,1
1,8,23,R_Accumbens (z=1),R_Accumbens,1
1,9,15,R_Occipital (z=1),R_Occipital,1
1,10,16,R_Cingulate (z=1),R_Cingulate,1
1,11,3,L_Occipital (z=1),L_Occipital,1
1,12,7,L_Amygdala (z=1),L_Amygdala,1
1,13,17,R_Insula (z=1),R_Insula,1
1,14,38,R_Parietal (z=2),R_Parietal,2
1,15,18,R_Hippocampus (z=1),R_Hippocampus,1
1,16,6,L_Hippocampus (z=1),L_Hippocampus,1
1,17,26,L_Parietal (z=2),L_Parietal,2
1,18,25,L_Temporal (z=2),L_Temporal,2
1,19,37,R_Temporal (z=2),R_Temporal,2
1,20,24,L_Frontal (z=2),L_Frontal,2
1,21,5,L_Insula (z=1),L_Insula,1
1,22,19,R_Amygdala (z=1),R_Amygdala,1
1,23,36,R_Frontal (z=2),R_Frontal,2
1,24,11,L_Accumbens (z=1),L_Accumbens,1
1,25,42,R_Hippocampus (z=2),R_Hippocampus,2
1,26,30,L_Hippocampus (z=2),L_Hippocampus,2
1,27,9,L_Pallidum (z=1),L_Pallidum,1
1,28,22,R_Putamen (z=1),R_Putamen,1
1,29,28,L_Cingulate (z=2),L_Cingulate,2
1,30,21,R_Pallidum (z=1),R_Pallidum,1
1,31,20,R_Caudate (z=1),R_Caudate,1
1,32,29,L_Insula (z=2),L_Insula,2
1,33,10,L_Putamen (z=1),L_Putamen,1
1,34,41,R_Insula (z=2),R_Insula,2
1,35,8,L_Caudate (z=1),L_Caudate,1
1,36,34,L_Putamen (z=2),L_Putamen,2
1,37,40,R_Cingulate (z=2),R_Cingulate,2
1,38,46,R_Putamen (z=2),R_Putamen,2
